ContractID,HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
2H9VFK94,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
2H9VFK94,USA,USA-SD-0001-0001,119040,0.000250,29.760000,0.000210,24.998400
2H9VFK94,-,Total,-,-,37.2,-,33.1824
2JLG5IIQ,USA,USA-IP-0001-0001,1894,0.010000,18.940000,0.011000,20.834000
2JLG5IIQ,USA,USA-NW-0001-0001,2,0.150000,0.300000,0.011000,0.022000
2JLG5IIQ,USA,USA-VM-0001-0011,301,2.000000,602.000000,1.700000,511.700000
2JLG5IIQ,USA,USA-SD-0001-0001,32500,0.000250,8.125000,0.000210,6.825000
2JLG5IIQ,USA,USA-VM-0001-0004,611,0.995000,607.945000,0.850000,519.350000
2JLG5IIQ,USA,USA-DK-0002-0001,24400,0.000250,6.100000,0.000210,5.124000
2JLG5IIQ,USA,USA-DK-0001-0001,271400,0.000250,67.850000,0.000210,56.994000
2JLG5IIQ,-,Total,-,-,1311.26,-,1120.849
3HDO009U,USA,USA-IP-0001-0001,2976,0.010000,29.760000,0.011000,32.736000
3HDO009U,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
3HDO009U,USA,USA-DK-0003-0001,89280,0.000250,22.320000,0.000210,18.748800
3HDO009U,USA,USA-SD-0001-0001,208320,0.000250,52.080000,0.000210,43.747200
3HDO009U,USA,USA-VM-0001-0002,2976,0.249000,741.024000,0.213000,633.888000
3HDO009U,USA,USA-VM-0001-0004,744,0.995000,740.280000,0.850000,632.400000
3HDO009U,USA,USA-DK-0002-0001,29760,0.000250,7.440000,0.000210,6.249600
3HDO009U,USA,USA-NW-0002-0001,1474,0.036400,53.653600,0.023300,34.344200
3HDO009U,USA,USA-DK-0001-0001,6696000,0.000250,1674.000000,0.000210,1406.160000
3HDO009U,USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
3HDO009U,-,Total,-,-,4060.0936,-,3440.6738
4D0V4580,USA,USA-IP-0001-0001,2976,0.010000,29.760000,0.011000,32.736000
4D0V4580,USA,USA-NW-0001-0001,2743,0.150000,411.450000,0.011000,30.173000
4D0V4580,USA,USA-DK-0003-0001,29760,0.000250,7.440000,0.000210,6.249600
4D0V4580,USA,USA-SD-0001-0001,148800,0.000250,37.200000,0.000210,31.248000
