ContractID,HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
GJQH5BD1,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
GJQH5BD1,UKI,UKI-DK-0003-0001,201780,0.000160,32.284800,0.000130,26.231400
GJQH5BD1,UKI,UKI-DK-0002-0001,494880,0.000160,79.180800,0.000130,64.334400
GJQH5BD1,UKI,UKI-NW-0002-0001,2232,0.023000,51.336000,0.014900,33.256800
GJQH5BD1,UKI,UKI-SD-0001-0001,3153785,0.000160,504.605600,0.000130,409.992050
GJQH5BD1,UKI,UKI-DK-0001-0001,438960,0.000160,70.233600,0.000130,57.064800
GJQH5BD1,UKI,UKI-VM-0001-0004,220,0.640000,140.800000,0.544900,119.878000
GJQH5BD1,UKI,UKI-VM-0001-0001,17868,0.080000,1429.440000,0.067900,1213.237200
GJQH5BD1,UKI,UKI-DK-0003-0002,22320,0.000160,3.571200,0.000130,2.901600
GJQH5BD1,UKI,UKI-IP-0001-0001,18638,0.008000,149.104000,0.007100,132.329800
GSQF1P6F,UKI,UKI-IP-0001-0001,537,0.008000,4.296000,0.007100,3.812700
GSQF1P6F,UKI,UKI-SD-0001-0001,5360,0.000160,0.857600,0.000130,0.696800
GSQF1P6F,UKI,UKI-DK-0001-0001,26800,0.000160,4.288000,0.000130,3.484000
HKE5963T,UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
HKE5963T,UKI,UKI-SD-0001-0001,119040,0.000160,19.046400,0.000130,15.475200
IL8K1OPS,UKI,UKI-NW-0001-0001,303,0.121000,36.663000,0.007100,2.151300
IL8K1OPS,UKI,UKI-DK-0003-0001,1380,0.000160,0.220800,0.000130,0.179400
IL8K1OPS,UKI,UKI-SD-0001-0001,26530,0.000160,4.244800,0.000130,3.448900
IL8K1OPS,UKI,UKI-DK-0001-0001,192930,0.000160,30.868800,0.000130,25.080900
IL8K1OPS,UKI,UKI-VM-0001-0001,685,0.080000,54.800000,0.067900,46.511500
IL8K1OPS,UKI,UKI-VM-0001-0002,453,0.160000,72.480000,0.136500,61.834500
IL8K1OPS,UKI,UKI-IP-0001-0001,778,0.008000,6.224000,0.007100,5.523800
J8YJGGX5,UKI,UKI-DK-0003-0001,59520,0.000160,9.523200,0.000130,7.737600
J8YJGGX5,UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
J8YJGGX5,UKI,UKI-SD-0001-0001,89280,0.000160,14.284800,0.000130,11.606400
LQHXU8R9,UKI,UKI-DK-0002-0001,355970,0.000160,56.955200,0.000130,46.276100
