ContractID,HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
62YKKU8E,DEU,DEU-VM-0001-0002,1488,0.973000,1447.824000,0.167700,249.537600
62YKKU8E,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
62YKKU8E,DEU,DEU-DK-0001-0001,104160,0.000190,19.790400,0.000160,16.665600
62YKKU8E,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
62YKKU8E,DEU,DEU-SD-0001-0001,14880,0.000190,2.827200,0.000160,2.380800
62YKKU8E,-,Total,-,-,1477.8816,-,275.0568
6P2G4HHY,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
6P2G4HHY,DEU,DEU-IP-0001-0001,708,0.010000,7.080000,0.008700,6.159600
6P2G4HHY,DEU,DEU-SD-0001-0001,56640,0.000190,10.761600,0.000160,9.062400
6P2G4HHY,DEU,DEU-VM-0001-0001,7,0.098200,0.687400,0.083500,0.584500
6P2G4HHY,-,Total,-,-,18.529,-,15.8065
6RPW2ZDP,DEU,DEU-VM-0001-0002,744,0.973000,723.912000,0.167700,124.768800
6RPW2ZDP,DEU,DEU-DK-0001-0001,148800,0.000190,28.272000,0.000160,23.808000
6RPW2ZDP,DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.008700,12.945600
6RPW2ZDP,DEU,DEU-NW-0001-0001,8,0.010200,0.081600,0.008700,0.069600
6RPW2ZDP,DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
6RPW2ZDP,DEU,DEU-SD-0001-0001,59520,0.000190,11.308800,0.000160,9.523200
6RPW2ZDP,-,Total,-,-,1071.2928,-,420.0576
74H7FZQ1,DEU,DEU-NW-0001-0001,20,0.010200,0.204000,0.008700,0.174000
74H7FZQ1,DEU,DEU-DK-0001-0001,74400,0.000190,14.136000,0.000160,11.904000
74H7FZQ1,DEU,DEU-VM-0001-0003,744,0.393600,292.838400,0.334600,248.942400
74H7FZQ1,DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.008700,12.945600
74H7FZQ1,DEU,DEU-SD-0001-0001,29760,0.000190,5.654400,0.000160,4.761600
74H7FZQ1,-,Total,-,-,327.7128,-,278.7276
772NR6VZ,DEU,DEU-NW-0001-0001,186,0.010200,1.897200,0.008700,1.618200
772NR6VZ,DEU,DEU-DK-0001-0001,1320700,0.000190,250.933000,0.000160,211.312000
772NR6VZ,DEU,DEU-VM-0001-0003,1489,0.393600,586.070400,0.334600,498.219400
772NR6VZ,DEU,DEU-IP-0001-0001,4464,0.010000,44.640000,0.008700,38.836800
772NR6VZ,DEU,DEU-DK-0003-0001,10,0.000190,0.001900,0.000160,0.001600
772NR6VZ,DEU,DEU-SD-0001-0001,44660,0.000190,8.485400,0.000160,7.145600
772NR6VZ,DEU,DEU-VM-0001-0001,2976,0.098200,292.243200,0.083500,248.496000
772NR6VZ,-,Total,-,-,1184.2711,-,1005.6296
8CV7NHBH,DEU,DEU-VM-0001-0002,1488,0.973000,1447.824000,0.167700,249.537600
8CV7NHBH,DEU,DEU-NW-0001-0001,7,0.010200,0.071400,0.008700,0.060900
8CV7NHBH,DEU,DEU-DK-0001-0001,386880,0.000190,73.507200,0.000160,61.900800
